Fall,Status,Bearbeitungszeit(Sekunden),ErklärungDatenverarbeitung,Q0,Q1,Q2A,Q2B,Q2C,Q2D,Q2E,Q2F,Q2G,Q3,Q4A,Q4B,Q4C,Q4D,Q4E,Q4F,Q4G,Q4H,Q5,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q8G,Q8H,Q8I,Q8J,Q8K,Q8L,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q9I,Q9J,Q9K,Q9L,Q10A,Q10B,Q10C,Q11A,Q11B,Q11C,Q11D,Q11E,Q11F,Q11G,Q11H,Q11I,Q12A,Q12B,Q12C,Q12D,Q12E,Q12F,Q12G,Q12H,Q12I,Q13,Q14,Q15,Q16,Q17A,Q17B,Q17C,Q17D,Q17E
"280","Started","452","1","1","4","2","2","2","1","1","1","1","Rothaus Hirsch Helles Köstrizer Berg","3","3","1","1","2","1","1","1","4","2","1","2","-99","1","2","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","0","0","0","0","0"
"281","Completed","841","1","1","2","3","3","2","1","3","3","3","Augustiner, Tegernsee Helles, Alpirsbacher","3","2","1","3","2","2","1","1","1","5","4","5","4","3","2","4","3","5","3","1","1","5","5","5","2","2","2","3","3","5","2","3","3","1","1","-99","3","5","5","5","1","4","4","5","5","1","5","1","4","4","4","3","3","3","4","1","1","2","2","2","2","-99","2","2","2","2","1","7","1","3","1","0","0","0","0"
"282","Completed","1376","1","1","3","3","3","2","2","-99","-99","-99","Corona, Peroni","3","3","1","2","2","1","-99","-99","2","4","3","4","3","3","2","4","3","2","3","4","2","4","3","2","5","2","3","4","3","3","3","3","4","2","4","4","3","3","2","4","4","3","3","3","2","2","3","3","2","4","3","2","2","3","4","3","4","4","4","2","2","2","3","3","3","3","1","11","1","1","1","0","1","0","0"
"283","Completed","718","1","1","4","2","2","1","1","2","2","2","Eichbaum","3","3","1","2","1","1","1","1","4","1","1","2","1","2","1","4","4","3","4","2","3","4","-99","-99","3","-99","2","3","3","2","1","-99","-99","4","3","2","-99","3","-99","-99","4","2","2","2","3","4","2","2","1","1","3","3","1","1","1","1","3","1","2","2","2","1","2","2","2","2","2","10","1","1","0","1","0","0","0"
"284","Completed","493","1","1","2","3","3","1","1","3","3","3","Alpirsbacher","3","2","2","1","-99","1","-99","1","3","4","1","2","1","2","1","5","3","4","4","5","2","5","5","3","1","3","1","5","3","3","2","5","5","1","3","3","1","1","3","-99","5","1","1","4","3","1","5","4","3","3","4","5","1","1","2","2","5","1","1","3","-99","5","5","5","1","5","2","4","1","3","0","0","1","0","0"
"285","Started","508","1","1","3","3","3","2","1","2","-99","2","ArcoBräu","3","3","1","2","1","1","1","1","3","4","-99","3","2","2","4","3","2","3","2","2","3","3","1","1","1","1","4","1","1","1","1","1","1","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","0","0","0","0","0"
"286","Started","323","1","1","3","2","3","1","1","3","2","2","","1","3","1","2","2","1","1","1","1","2","2","2","2","2","1","3","1","3","3","1","3","5","5","2","-99","3","2","1","2","3","4","2","2","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","0","0","0","0","0"
"287","Completed","710","1","1","3","2","3","1","2","3","-99","-99","Bayreuther helles Hirsch helles Fürstenberg export","3","2","1","3","1","1","1","1","1","4","3","4","2","4","5","3","2","3","2","1","2","4","2","5","2","2","2","2","3","5","2","3","2","1","5","2","1","-99","2","5","4","2","1","5","1","1","1","5","3","3","4","2","1","1","1","1","2","1","1","1","3","2","2","2","1","5","1","12","1","3","0","0","0","0","1"
"288","Completed","945","1","1","1","3","3","1","1","2","2","3","Stuttgarter, Franziskaner","3","3","1","2","1","2","1","1","3","3","2","4","2","2","2","2","4","5","-99","1","2","4","3","2","2","2","4","-99","1","5","-99","2","2","1","5","1","1","1","1","1","4","3","1","4","1","1","1","4","2","4","3","3","2","2","3","3","3","2","2","-99","2","2","2","2","1","2","1","7","1","1","0","0","1","0","0"
"289","Completed","943","1","1","2","3","3","2","2","3","3","2","Dinkelacker, Spaten, Paulaner","3","1","1","2","2","1","1","1","1","5","4","5","4","3","4","4","3","2","3","3","1","5","4","4","4","2","5","1","5","4","3","3","4","1","3","2","2","2","1","5","3","3","1","5","2","1","1","5","1","4","3","2","1","1","3","2","3","3","2","-99","2","5","5","3","2","5","1","9","1","1","0","0","0","1","0"
"290","Completed","437","1","1","2","3","3","2","2","3","3","2","Stuttgarter Hofbräu","2","2","2","2","2","-99","-99","-99","1","5","3","5","3","5","3","1","1","1","1","1","1","5","5","3","2","2","4","2","3","3","3","3","4","1","1","5","1","1","1","1","1","5","1","5","1","1","1","5","1","5","1","1","1","1","3","3","1","2","2","3","2","2","2","2","2","2","1","11","1","2","0","1","0","1","0"
"291","Completed","427","1","1","1","3","3","1","1","3","3","3","Stuttgarter Hofbräu","3","3","1","3","1","2","1","1","1","5","5","5","5","1","4","2","1","2","1","1","1","5","5","3","3","1","1","1","5","1","1","1","1","1","4","1","1","1","1","2","3","5","1","4","1","1","1","5","3","3","4","2","2","5","1","3","1","1","1","1","1","1","1","1","1","2","1","8","1","1","0","0","1","0","0"
"292","Completed","651","1","1","3","2","2","1","-99","1","2","2","Schönbuchbräu Desperados","2","2","1","1","1","1","1","1","2","2","1","2","2","1","2","4","4","4","2","3","2","4","2","3","3","3","2","2","2","3","2","3","2","2","2","-99","-99","1","-99","1","3","3","1","-99","1","2","2","2","1","2","3","3","1","2","1","2","3","2","2","2","3","2","2","2","2","2","2","6","1","4","0","0","1","0","0"
"293","Started","315","1","1","4","2","2","2","2","2","2","2","Schönbuch Bräu","2","2","1","2","1","1","1","1","1","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","0","0","0","0","0"
"294","Completed","1473","1","1","2","3","3","2","1","3","3","3","Berg Bier, Stuttgarter Hofbräu, Chiemseer, Paulaner, Zwiefalter, Augustiner, SchwabenBräu, Wulle, Gösser, Kloster","3","2","2","3","2","1","1","1","3","5","4","5","2","1","1","4","2","5","3","2","2","5","4","5","2","2","5","3","3","5","3","5","3","2","4","2","2","3","3","4","3","2","1","5","2","2","2","4","2","4","3","2","2","2","2","3","4","4","3","2","2","4","5","2","2","5","1","11","1","3","1","0","0","0","0"
"295","Completed","540","1","1","3","3","2","2","1","2","3","3","Berg","3","2","1","1","1","1","1","1","4","3","5","4","4","2","3","5","5","4","3","4","3","5","2","2","4","3","2","4","2","2","4","5","3","4","1","3","2","3","5","4","2","1","3","5","2","4","4","5","3","4","3","4","2","3","3","2","2","2","2","2","2","4","2","2","2","4","1","8","1","5","1","0","0","0","0"
"296","Completed","671","1","1","3","2","2","1","1","1","3","1","Waldhaus, Augustiner","3","1","-99","2","1","-99","1","-99","3","2","1","3","1","1","1","4","4","3","3","4","2","5","4","4","4","3","-99","4","4","4","2","4","5","3","2","3","1","4","3","2","3","5","1","5","1","2","2","4","1","2","4","4","1","3","2","1","4","2","4","2","2","1","2","4","2","4","2","8","1","3","0","0","0","1","0"
"297","Completed","666","1","1","1","3","3","3","3","1","3","3","Erdinger","3","3","1","1","1","3","1","1","2","5","5","5","5","5","5","2","2","2","2","2","2","4","3","4","-99","3","3","2","-99","-99","-99","2","-99","2","5","5","5","2","2","4","2","5","5","5","4","2","2","5","5","5","5","2","2","2","5","2","2","4","3","3","3","4","3","4","3","4","1","10","1","1","0","0","0","1","0"
"298","Completed","597","1","1","3","2","2","2","2","1","2","2","Berg Brauerei","2","2","1","1","1","1","1","1","4","3","4","4","4","3","4","4","4","4","4","4","2","4","2","2","2","2","2","4","3","2","3","2","3","4","3","1","1","1","1","1","4","3","1","3","1","2","3","3","2","2","4","4","2","2","2","2","4","-99","4","-99","4","4","-99","4","3","3","2","5","1","4","0","0","1","0","0"
"299","Completed","322","1","1","3","3","3","1","1","2","2","2","Desperados","2","2","1","2","1","2","1","1","3","4","2","4","2","2","2","4","3","4","3","3","2","5","4","3","2","3","3","2","2","2","2","3","2","2","4","2","1","2","2","3","3","2","2","4","1","2","3","4","2","4","3","3","2","1","2","2","3","5","2","4","3","3","2","2","3","3","1","6","1","3","0","0","1","0","0"
"300","Completed","393","1","1","5","2","2","1","1","1","2","2","Schimpf","3","1","1","1","1","1","1","1","2","2","2","4","2","4","2","4","4","4","4","3","3","3","2","4","2","3","2","4","4","4","2","4","3","4","3","1","1","1","1","1","4","4","1","1","1","4","4","3","3","3","3","4","3","3","3","3","4","3","4","4","4","4","-99","4","-99","-99","2","4","1","4","0","0","1","0","0"
"301","Started","281","1","1","2","3","3","2","2","2","2","3","Hab keinen","3","3","1","2","1","2","1","1","5","4","3","3","2","2","2","4","3","5","3","2","4","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","0","0","0","0","0"
"302","Completed","599","1","1","2","3","3","2","2","3","3","2","Berg Brauerei","3","3","2","2","1","1","1","1","1","4","3","5","2","3","2","3","2","2","3","1","1","5","4","2","2","2","5","3","4","4","3","2","4","1","5","1","1","1","4","4","1","2","2","5","1","1","1","4","3","4","3","1","3","2","3","2","1","4","2","2","2","3","2","1","1","4","1","10","1","1","0","0","0","1","0"
"303","Completed","908","1","1","2","3","3","2","2","3","3","3","Augustiner, Alpiersbacher, Chiemseeer, Erdinger, Hacker Pschorr","3","3","1","2","2","2","1","1","2","4","2","4","3","2","1","5","3","2","2","1","1","5","5","4","-99","-99","3","-99","-99","3","2","3","-99","2","5","2","3","1","2","5","2","5","2","5","1","2","2","5","2","5","3","2","2","2","3","2","3","2","-99","-99","2","-99","-99","-99","-99","4","1","15","1","3","0","0","0","0","1"
"304","Completed","697","1","1","3","3","3","1","1","3","3","3","Berg Bier, gruibinger,paulaner","3","3","1","3","2","1","1","1","3","5","2","4","3","2","2","4","2","5","3","1","1","5","4","3","2","2","4","-99","-99","3","-99","3","2","3","5","1","3","3","2","5","2","2","3","5","3","3","3","5","2","4","5","4","2","3","4","2","3","-99","3","1","-99","-99","2","2","-99","2","1","12","1","3","1","0","0","0","0"
"305","Completed","504","1","1","3","2","3","1","1","3","2","2","somersby","3","1","3","1","1","1","1","1","1","2","4","4","1","1","1","4","1","2","1","1","1","5","2","2","1","-99","-99","2","2","-99","3","4","-99","1","2","1","1","2","1","1","4","3","1","1","1","1","1","3","1","1","2","5","3","1","1","2","5","-99","-99","2","-99","-99","-99","1","-99","1","2","3","1","4","0","0","1","0","0"
"306","Completed","945","1","1","2","3","3","2","2","3","3","3","Wulle, Corona, Käpsele und viele mehr ️","3","2","3","3","3","1","2","1","1","5","5","5","5","5","5","3","3","3","1","2","1","5","4","2","3","2","4","2","5","4","5","5","5","1","5","2","5","1","2","4","1","4","2","5","2","1","2","5","2","4","3","2","3","2","2","1","1","5","3","2","5","5","5","3","2","5","1","4","1","1","0","0","1","0","0"
"307","Completed","608","1","1","2","3","3","1","2","2","-99","-99","Schöbuch Bräu Augustiner Chiemsee","-99","3","1","2","-99","2","1","-99","1","4","-99","5","3","-99","-99","4","2","3","2","1","3","-99","2","3","-99","-99","5","3","4","5","2","5","4","1","5","1","1","1","1","5","1","1","1","5","1","1","5","5","2","5","4","1","1","1","1","1","1","1","2","2","1","2","-99","5","-99","5","1","9","1","3","0","0","0","1","0"
"308","Completed","655","1","1","3","3","3","1","1","1","2","3","Oettinger","3","1","1","1","1","1","1","1","1","3","1","5","1","3","1","4","1","5","1","1","1","3","-99","-99","-99","-99","-99","3","5","5","5","3","-99","1","1","1","1","1","1","4","3","1","1","5","2","1","1","5","3","3","2","3","2","2","3","2","4","3","2","3","-99","5","5","-99","2","5","1","10","1","1","0","0","1","0","0"
"309","Completed","1122","1","1","4","2","2","1","1","2","2","2","Becks.","3","2","1","2","3","1","1","1","3","2","1","3","1","2","1","3","3","3","4","4","4","5","3","4","4","2","3","3","3","4","3","3","4","3","4","2","1","3","2","2","4","2","2","2","1","3","3","4","1","2","5","4","3","3","2","3","2","2","2","2","2","3","3","3","1","4","1","8","1","1","0","0","1","0","0"
"310","Started","610","1","1","2","3","3","1","1","3","3","2","Berg Zwiefalter Kaiser Mooser Liesl Käpsele","3","2","1","1","2","1","1","1","1","2","2","4","3","1","1","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","0","0","0","0","0"
"311","Completed","646","1","1","3","2","3","1","1","3","3","2","Alpirsbacher, Stuttgarter hofbräu","3","1","1","2","1","1","1","1","1","4","2","4","3","2","1","4","4","3","3","2","2","5","3","3","2","-99","2","2","-99","5","2","4","2","1","5","-99","-99","-99","-99","5","2","2","-99","3","-99","2","-99","-99","1","3","3","3","2","2","1","2","3","-99","-99","-99","-99","-99","-99","-99","-99","-99","1","7","1","3","-99","-99","-99","-99","-99"
"312","Completed","466","1","1","3","2","2","2","2","2","2","1","Baisinger, Alpi, Schimpf","3","-99","-99","2","-99","1","-99","1","1","3","1","3","1","1","1","3","3","1","3","3","1","5","5","3","1","2","5","3","1","1","1","2","3","1","3","1","3","1","1","4","1","2","3","5","1","1","1","3","-99","4","3","-99","3","-99","-99","-99","-99","3","5","1","3","5","1","1","1","3","1","7","1","3","0","0","0","1","0"
"313","Completed","1097","1","1","3","3","2","1","1","3","3","2","Paulaner, Stuttgarter Hofbräu, Astra","3","3","1","2","2","2","1","1","1","3","2","4","2","2","2","3","3","4","4","2","2","5","2","3","1","1","3","-99","2","3","3","3","3","1","4","4","2","-99","3","3","3","4","-99","5","3","1","1","5","-99","-99","-99","-99","-99","-99","-99","-99","-99","3","3","-99","2","2","3","-99","-99","2","1","8","1","1","0","0","1","0","0"
"314","Completed","445","1","1","5","1","2","1","1","1","2","1","Augustiner","2","1","1","1","1","1","1","1","4","2","1","2","1","1","1","4","3","4","2","4","4","5","5","4","2","2","-99","2","2","2","2","3","3","5","3","2","1","2","1","2","4","2","1","4","1","4","3","2","1","1","4","4","2","1","1","2","2","2","1","2","-99","2","1","2","1","3","2","9","1","3","0","0","0","0","1"
"315","Completed","319","1","1","5","2","2","1","-99","1","1","1","","-99","2","1","1","1","1","1","1","1","1","1","1","1","1","1","5","4","4","4","4","4","4","4","2","1","3","3","2","2","1","3","3","2","1","1","1","1","1","1","1","2","1","1","1","1","3","2","1","1","1","2","2","1","1","1","1","2","3","2","3","3","2","2","2","1","2","2","5","1","3","0","0","1","0","0"
"316","Completed","596","1","1","2","3","3","1","1","2","2","1","Wulle, Edelstoff,","3","3","1","2","1","1","1","1","1","3","3","4","3","2","1","5","4","1","5","4","-99","5","4","3","2","3","5","3","2","4","2","2","5","3","3","1","3","1","1","5","5","2","1","4","1","1","1","4","2","4","1","4","3","2","4","3","4","2","2","2","2","2","4","3","2","4","2","8","1","1","0","0","0","1","0"
"317","Completed","641","1","1","3","2","2","1","1","1","2","2","Tegernseer","3","3","1","1","1","1","1","1","2","4","3","4","4","3","4","3","4","4","2","2","2","3","2","3","3","3","2","3","3","4","3","2","3","3","4","1","1","1","1","1","4","3","1","3","1","2","3","4","1","2","1","4","1","2","2","4","4","-99","4","4","1","3","1","2","-99","-99","1","3","1","4","0","0","1","0","0"
"318","Completed","585","1","1","4","1","2","1","1","1","1","1","Desperados","2","1","1","1","1","1","1","1","2","2","2","4","2","2","2","4","4","3","4","4","3","4","-99","4","2","3","2","4","4","-99","2","4","2","4","1","1","1","1","1","1","4","4","1","1","1","2","4","3","2","2","2","4","2","2","2","3","4","4","4","4","1","4","4","1","2","1","1","2","1","4","0","0","1","0","0"
"319","Completed","435","1","1","5","2","2","1","1","2","2","1","Corona","2","2","2","2","1","1","1","1","2","1","1","1","1","1","1","5","4","5","4","5","4","5","4","4","2","3","3","3","2","2","4","3","2","5","1","1","1","1","1","1","3","1","1","2","1","4","2","1","1","1","3","3","1","1","1","1","3","4","3","4","3","2","2","2","2","2","2","9","1","7","0","1","0","1","0"
"320","Completed","603","1","1","3","3","3","1","1","3","3","3","Zwiefalter 1521 Ayinger Spaten","3","3","2","2","1","1","1","1","1","-99","-99","5","5","-99","-99","4","4","5","3","4","1","5","4","4","2","3","2","3","2","3","5","2","3","1","5","5","2","-99","1","4","4","2","1","3","1","1","2","5","2","3","1","5","5","4","3","3","1","3","3","3","5","-99","4","2","-99","5","1","7","1","4","0","0","1","0","0"
"321","Started","362","1","1","2","2","2","1","1","2","3","2","Chiemseer Augustiner","3","3","1","2","3","1","1","1","2","-99","3","4","3","2","2","4","2","4","3","2","5","5","4","3","4","2","4","3","4","3","2","4","2","2","1","2","2","-99","1","4","1","2","1","5","5","1","1","4","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","0","0","0","0","0"
"322","Started","296","1","1","4","2","2","1","1","2","3","2","Schönbuchbräu","2","3","1","2","1","2","1","1","2","3","2","4","1","1","1","5","1","3","1","1","5","5","5","2","1","1","5","1","-99","2","1","3","3","5","5","1","1","4","1","3","4","4","1","4","3","5","5","5","2","4","4","2","2","2","3","3","2","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","0","0","0","0","0"
"323","Completed","610","1","1","2","3","3","2","2","2","3","2"," Schönbuch - Allgäuer Hell - Allgäuer Brauhaus - Oberdorfer","3","3","1","2","2","2","1","1","1","4","4","5","5","-99","4","4","2","5","3","-99","2","5","4","2","1","1","5","2","2","2","1","5","4","1","3","3","3","1","1","3","2","4","3","5","1","1","1","5","1","5","3","1","1","1","1","1","1","1","1","1","3","3","2","1","1","4","1","11","1","3","0","0","1","0","0"
"324","Completed","919","1","1","5","2","2","1","1","1","1","2","Heineken","2","1","1","2","1","1","1","1","3","3","1","1","1","1","1","5","5","5","5","1","3","4","3","-99","4","-99","-99","-99","2","2","3","-99","4","5","5","-99","-99","-99","1","1","5","4","1","1","5","5","4","3","1","2","3","2","2","1","2","2","4","3","3","-99","2","3","-99","4","-99","4","2","10","1","3","0","0","0","0","1"
"325","Completed","1082","1","1","3","2","3","1","1","2","2","3","Allgemein Pils, Corona, Desperados","3","2","1","2","2","1","1","1","2","3","2","4","2","1","2","3","4","2","3","4","2","5","3","5","3","2","3","2","4","4","2","4","-99","2","2","2","-99","-99","-99","2","3","5","1","2","-99","1","2","4","1","4","1","2","2","2","4","2","3","2","3","-99","2","2","4","-99","-99","4","2","5","1","1","0","0","1","0","0"
"326","Completed","625","1","1","4","2","2","1","1","2","2","2","Heineken","2","1","1","1","2","1","2","2","3","2","1","3","1","2","1","3","2","3","1","1","1","4","4","3","3","3","2","3","3","3","2","4","2","3","2","3","2","3","2","3","3","3","2","3","2","3","4","2","4","4","3","4","4","3","3","3","4","3","4","4","2","2","3","2","4","4","2","6","1","3","0","0","0","0","1"
"327","Completed","440","1","1","3","2","3","2","1","2","3","3","Augustiner","3","1","2","2","2","1","1","1","3","3","2","3","2","3","2","4","2","3","2","1","2","3","1","3","4","1","3","2","3","4","2","4","4","3","4","1","1","2","1","2","3","2","2","5","3","2","3","4","1","3","1","2","2","2","2","2","3","2","2","4","2","2","2","3","1","3","1","7","2","1","0","0","0","0","1"
"328","Completed","482","1","1","5","3","3","1","1","2","2","2","Hochdorfer, Alpirsbacher","3","3","1","2","1","2","1","1","1","3","2","4","1","-99","1","4","3","5","3","1","2","-99","4","3","1","2","-99","2","1","-99","2","3","3","1","5","3","-99","1","5","2","4","3","3","2","-99","1","1","5","4","5","3","4","3","3","2","2","5","2","2","3","1","3","1","4","1","4","2","8","1","1","0","0","0","0","1"
"329","Completed","681","1","1","3","2","3","1","1","2","3","1","Schöfferhofer","2","1","1","2","1","1","1","1","3","2","2","3","1","1","1","3","4","4","2","2","2","5","5","5","4","3","4","4","4","5","3","5","2","3","2","1","-99","-99","1","3","4","2","1","4","5","3","3","3","1","4","2","5","1","1","2","4","4","2","2","2","2","3","2","4","2","5","2","8","1","3","0","0","0","0","1"
"330","Completed","3394","1","1","3","3","3","1","1","3","3","3","Flötzinger, Kaiser, Augustiner, Chiemseer, Bayreuther","3","2","1","3","2","1","1","1","2","5","4","5","4","3","2","4","3","5","1","2","4","-99","-99","-99","3","-99","-99","-99","4","-99","-99","-99","5","3","1","3","1","1","3","4","1","3","2","5","1","3","3","5","2","4","3","4","2","2","2","1","1","3","4","4","2","3","2","3","-99","5","1","7","1","3","0","0","1","0","0"
"331","Completed","450","1","1","3","3","3","2","1","2","2","3","Corona","3","3","1","2","2","1","1","1","5","2","1","4","2","2","2","3","5","4","3","3","3","-99","-99","4","-99","3","-99","4","3","4","2","4","-99","4","1","3","1","1","1","2","4","4","1","3","1","4","3","4","2","1","4","4","2","2","4","3","4","3","4","-99","3","4","-99","-99","2","4","-99","7","1","3","1","0","0","0","0"
"332","Completed","3469","1","1","2","3","3","2","2","3","3","3","Alpirsbacher Klosterbräu Hochdorfer Zwiefalter Klosterbräu","-99","3","2","2","1","-99","-99","1","2","4","3","4","-99","-99","4","-99","-99","3","4","-99","-99","5","4","3","2","3","4","2","3","2","5","4","4","4","5","1","2","3","2","5","4","3","3","5","4","1","2","3","3","4","2","3","3","4","4","2","2","2","4","3","4","4","3","2","1","3","1","8","1","2","0","0","0","1","0"
"333","Started","662","1","1","3","3","3","1","1","3","2","1","Wulle","3","1","2","1","2","1","1","1","1","4","1","4","2","3","3","3","4","3","2","5","1","5","5","5","2","-99","3","4","-99","5","4","2","5","1","2","3","1","1","3","1","5","4","1","3","2","1","1","5","1","2","3","-99","1","1","1","2","2","1","1","3","2","1","1","1","1","5","2","6","1","9","0","0","0","0","0"
"334","Completed","615","1","1","2","3","3","2","2","3","3","3","Schönbuch","2","3","2","2","2","2","1","1","1","5","3","5","3","3","3","-99","-99","4","3","3","-99","5","5","2","-99","1","-99","4","4","4","3","4","2","1","5","3","2","2","2","3","3","5","2","3","3","1","1","4","3","3","3","4","3","3","3","3","3","1","2","1","1","1","1","1","1","3","1","12","1","1","0","0","0","1","0"
"335","Completed","292","1","1","4","3","3","1","1","2","3","2","Chiemseer","3","3","1","2","2","1","1","1","5","4","1","4","2","1","5","5","3","5","3","2","4","5","5","3","2","1","1","2","2","3","3","4","4","4","4","1","1","1","1","4","3","4","1","5","3","2","5","5","2","5","4","4","3","3","2","1","3","3","3","1","5","5","5","1","1","5","1","14","1","1","0","0","0","0","1"
"336","Completed","452","1","1","2","2","3","1","2","3","3","3","Berg Bier Paulaner Kristal","3","3","-99","-99","-99","-99","-99","-99","4","2","3","3","2","1","4","3","4","3","2","2","1","5","4","4","2","3","3","1","1","4","1","2","1","1","4","3","1","1","2","3","3","5","1","3","1","1","1","4","1","4","1","1","2","3","3","1","3","2","2","1","4","1","1","2","1","3","1","13","1","1","0","0","0","1","0"
"337","Completed","731","1","1","3","2","3","1","1","3","3","3","Stuttgarter Hofbräu Lösch-Zwerg Gösser","3","2","1","2","2","1","1","1","2","3","2","4","2","2","1","3","5","5","3","5","3","5","-99","5","-99","3","4","5","-99","3","5","3","5","4","4","4","-99","-99","4","2","5","3","-99","3","-99","4","4","4","3","3","3","5","3","-99","-99","-99","4","1","3","1","1","1","2","1","1","5","2","11","1","1","0","0","0","1","0"
"338","Completed","261","1","1","3","2","3","1","1","3","3","3","Meckatzer","2","2","1","3","1","1","1","2","3","4","4","5","2","3","3","2","2","2","3","1","1","4","-99","3","3","2","-99","-99","-99","3","-99","2","4","2","5","1","1","2","1","3","3","2","1","3","2","2","1","4","1","4","1","2","1","1","2","1","1","2","-99","-99","-99","-99","3","3","-99","2","1","15","1","1","1","0","0","0","0"
"339","Completed","410","1","1","3","3","3","1","1","3","3","3","Schönbuch, Stuttgarter Hofbräu Käpsele, Augustiner, generell Helles","3","2","3","2","3","2","1","1","1","3","2","4","2","1","2","3","3","3","2","2","1","5","5","-99","4","2","3","5","-99","-99","-99","4","4","1","2","5","2","2","1","4","3","2","1","5","2","2","4","3","2","3","2","3","2","3","2","2","4","3","3","2","3","4","4","1","1","4","2","13","1","1","1","0","0","0","0"
"340","Completed","688","1","1","4","2","2","1","1","2","2","1","Krombacher, Rothaus","3","3","1","2","2","2","1","1","2","2","2","3","2","2","1","2","2","4","1","2","1","5","4","5","2","1","3","3","4","2","3","2","4","1","2","2","2","4","5","3","2","4","5","4","4","1","3","3","4","2","4","3","3","3","1","2","3","3","2","1","2","3","4","-99","1","2","2","11","1","1","0","0","1","1","0"
"341","Completed","638","1","1","2","3","2","2","2","3","3","3","Ötti weil billig sonst Grevensteiner für den Geschmack","3","1","1","2","2","1","1","1","1","4","2","5","2","2","4","3","3","5","2","4","1","4","4","4","2","3","2","3","3","4","3","2","3","2","5","4","3","5","3","5","4","5","2","4","5","1","1","4","2","4","1","4","4","3","3","3","4","2","3","2","2","2","2","4","2","4","1","12","1","3","0","0","0","0","1"
"342","Completed","408","1","1","3","3","3","2","1","3","3","3","Schöfferhofer Radler, Wulle, Tannenzäpfle, Happiness Bier, Desperados","3","1","2","1","2","1","1","1","1","2","1","3","2","2","2","4","2","5","3","5","1","5","4","3","3","2","2","2","3","-99","3","3","-99","1","5","3","1","-99","3","1","5","1","1","5","1","1","1","5","2","2","3","3","3","2","1","2","4","2","3","3","2","2","-99","-99","-99","3","2","15","1","1","1","0","0","0","0"
"343","Completed","726","1","1","3","2","3","1","1","2","3","2","Wulle, Chiemseer, Öttinger","3","2","1","3","2","1","1","1","4","2","1","3","1","2","1","4","5","5","3","4","4","5","1","4","-99","4","3","4","3","3","3","-99","5","4","1","4","1","1","1","4","5","3","1","4","2","5","4","3","1","1","4","4","3","2","3","1","4","2","3","4","2","5","-99","-99","-99","5","2","11","1","3","0","0","0","0","1"
"344","Completed","748","1","1","2","3","3","1","2","3","3","3","Mooser Liesl Berg","3","3","1","3","2","2","1","1","1","4","2","5","4","1","2","5","1","5","2","1","1","4","3","3","2","2","3","5","3","5","2","3","3","1","5","1","1","1","1","1","3","3","1","5","1","1","2","4","1","3","2","5","1","3","1","1","4","2","4","3","4","2","2","4","2","3","2","11","1","1","0","0","0","1","0"
"345","Completed","533","1","1","3","2","3","1","1","3","3","2","Chiemseer Hell, Guiness, Wulle, Zoller Export, Oettinger","3","2","2","1","2","1","1","1","1","1","1","4","1","1","1","3","2","4","2","2","1","-99","1","-99","3","-99","-99","2","2","4","-99","3","4","1","3","2","1","1","3","3","2","1","1","5","2","1","1","4","1","2","3","3","2","1","1","1","3","-99","2","2","-99","3","3","4","2","-99","1","10","1","3","0","0","1","0","0"
