Fall,Status,Bearbeitungszeit(Sekunden),ErklärungDatenverarbeitung,Q0,Q1,Q2A,Q2B,Q2C,Q2D,Q2E,Q2F,Q2G,Q3,Q4A,Q4B,Q4C,Q4D,Q4E,Q4F,Q4G,Q4H,Q5,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q8G,Q8H,Q8I,Q8J,Q8K,Q8L,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q9I,Q9J,Q9K,Q9L,Q10A,Q10B,Q10C,Q11A,Q11B,Q11C,Q11D,Q11E,Q11F,Q11G,Q11H,Q11I,Q12A,Q12B,Q12C,Q12D,Q12E,Q12F,Q12G,Q12H,Q12I,Q13,Q14,Q15,Q16,Q17A,Q17B,Q17C,Q17D,Q17E
"35","Completed","792","1","1","5","2","2","1","1","2","2","2","Beck´s","3","3","1","1","1","1","1","1","2","2","2","3","1","2","2","4","2","3","3","3","2","5","4","3","4","2","2","2","2","3","1","4","3","2","4","2","1","1","1","1","4","3","1","2","1","2","4","4","1","1","1","4","1","1","1","2","3","4","1","3","4","3","2","5","1","4","2","9","1","3","0","0","1","0","0"
"36","Completed","798","1","1","3","2","2","1","1","2","2","2","Schimpf, Hirschbräu","2","3","1","2","1","2","1","1","3","3","2","3","2","2","1","4","4","4","2","4","2","5","4","4","1","4","4","2","1","4","1","2","4","3","2","1","1","1","1","4","5","5","1","5","1","4","4","4","1","4","2","4","1","1","3","3","2","3","2","2","-99","3","3","-99","2","3","1","10","1","1","0","0","0","1","0"
"37","Completed","558","1","1","3","3","3","1","1","1","3","2","Corona","2","3","1","2","1","1","1","1","2","2","1","3","2","1","1","4","3","4","1","1","1","4","3","3","1","2","3","1","2","3","1","3","1","1","1","1","1","1","1","3","1","2","1","4","3","1","1","2","1","1","1","2","2","1","2","2","2","4","4","4","2","-99","2","3","1","3","1","5","1","4","0","0","1","0","0"
"38","Completed","310","1","1","5","3","2","1","1","2","2","2","Corona","2","3","1","2","1","1","1","1","2","2","1","2","1","1","1","5","2","3","2","4","3","4","4","3","3","2","3","2","3","3","2","2","3","4","2","1","1","1","1","1","4","3","1","3","1","4","3","2","1","2","1","4","1","1","1","1","4","3","2","3","2","2","1","3","1","3","2","7","1","3","0","0","0","0","1"
"39","Completed","304","1","1","3","3","3","1","1","2","3","1","Paulaner","2","3","2","2","2","1","1","1","3","3","2","4","2","2","2","4","2","5","2","2","1","4","4","-99","2","2","4","2","2","3","3","-99","3","2","5","2","2","2","2","3","3","3","2","4","2","1","3","4","2","3","4","2","2","2","2","2","3","3","3","4","3","2","3","2","1","3","1","11","1","1","1","0","0","0","0"
"40","Completed","511","1","1","5","2","2","1","1","2","1","2","Krombacher","3","2","1","2","1","1","1","1","5","2","2","2","1","1","1","4","4","5","4","5","2","5","3","5","4","3","3","4","2","2","2","5","5","4","2","1","1","1","1","1","4","1","1","3","1","4","5","4","2","1","2","4","3","2","2","2","3","2","3","4","2","3","3","2","1","2","2","7","1","3","0","0","1","0","0"
"41","Completed","459","1","1","5","2","2","1","1","2","2","-99","Augustiner","2","2","1","2","2","2","1","1","2","2","1","2","1","2","1","4","2","2","2","2","4","4","4","4","4","2","3","3","4","3","3","4","3","1","4","4","2","1","1","2","2","3","1","4","1","2","2","4","1","3","3","1","1","1","1","2","1","4","2","-99","2","3","4","3","2","4","1","10","1","3","0","0","0","1","0"
"42","Completed","699","1","1","2","3","3","1","1","-99","-99","-99","Chiemsee, Tegernsee","3","2","2","3","3","2","1","1","5","5","4","5","4","3","4","4","4","5","2","2","1","5","3","3","2","2","3","3","2","4","4","3","4","1","4","4","2","2","1","2","2","1","3","5","3","1","1","5","3","4","3","4","1","3","2","2","4","2","2","2","2","2","2","2","2","5","1","10","1","3","0","0","1","0","0"
"43","Completed","725","1","1","3","2","3","1","1","2","2","2","Chiemseer","3","3","2","1","1","1","1","1","1","2","1","4","1","2","1","4","2","2","2","2","1","5","4","2","4","2","2","3","4","3","4","5","4","1","5","2","1","1","1","5","2","2","1","5","1","2","1","4","2","2","4","4","2","2","2","2","3","2","4","4","2","3","2","3","2","3","1","10","1","3","0","0","1","0","0"
"44","Completed","763","1","1","2","3","3","2","1","3","3","3","Edelstoff Sternburg","3","1","2","2","2","1","1","2","1","5","4","5","4","4","4","4","1","3","2","3","1","4","4","4","2","3","4","2","4","5","5","4","4","1","3","3","1","1","2","4","3","3","1","5","1","2","3","5","3","4","2","4","1","3","4","1","3","2","2","1","1","2","1","1","1","3","1","10","1","3","0","0","0","1","0"
"45","Completed","468","1","1","4","2","3","1","1","3","2","2","Chiemseer Tegernseer Corona Allgäuer Büble Gösser Stiegel","3","2","1","2","1","1","1","1","1","3","1","4","2","2","1","4","2","5","4","1","1","5","-99","4","3","-99","4","2","2","4","2","-99","2","1","4","3","1","1","1","3","5","3","2","4","2","1","1","4","2","3","1","4","2","1","1","2","4","4","3","2","3","2","2","2","2","4","1","7","1","3","1","0","1","0","0"
"46","Started","885","1","1","3","2","2","1","2","3","3","3","Helles","3","3","1","3","1","1","1","1","1","3","1","4","2","2","1","4","1","4","2","1","3","5","3","3","3","-99","-99","3","4","-99","3","4","4","1","3","-99","-99","-99","-99","3","2","3","-99","5","-99","2","1","5","-99","5","-99","-99","-99","-99","-99","-99","2","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","0","0","0","0","0"
